Box,Last Name,First Name,Series Title/Book Title,Series #,Book Title,Price 1,Price 2,Avg Price,Search Result
36,Carter,Nick,The Satan Trap,,,4.73,4.74,39.58666667,
36,Carter,Nick,Strike Force Terror,,,3.49,3.59,7.259130435,
36,Carter,Nick,The Sign of the Prayer Shawl,,,1,4.97,17.01944444,
36,Carter,Nick,Butcher of Belgrade,,,3,6.9,25.06066667,
36,Carter,Nick,The Living Death,,,4.14,4.14,12.14633333,
36,Carter,Nick,The Snake Flag Conspiracy,,,1.25,1,10.77529412,
36,Carter,Nick,Operation Snake,,,1,1,4.175789474,
36,Carter,Nick,The Kremlin File,,,1,4,26.15888889,
36,Carter,Nick,Assassination Brigade,,,4.09,4.09,4.614117647,
36,Carter,Nick,Agent Counter-Agent,,,4.05,6.26,21.34666667,
36,Carter,Nick,The Casbah Killers,,,4.51,8.99,19.87,
36,Carter,Nick,Jewel of Doom,,,1,1.47,22.40277778,
36,Carter,Nick,The Liquidator,,,1.65,3.07,9.966315789,
36,Carter,Nick,Operation Moon Rocket,,,4.5,2.5,9.025238095,
36,Carter,Nick,Mission to Venice,,,28.67,45.47,22.47181818,
36,Carter,Nick,The Mind Poisoners,,,1.2,8.09,5.511666667,
36,Carter,Nick,The Doomsday Formula,,,4.05,4.09,12.53071429,
36,Carter,Nick,Fraulein Spy,,,1.59,1.59,7.457333333,
36,Carter,Nick,The Black Death,,,1,1.36,5.671666667,
36,Carter,Nick,Run Spy Run,,,12.21,12.95,15.36166667,
36,Carter,Nick,The Living Death,,,4.14,4.14,12.14633333,
36,Carter,Nick,Assault on England,,,4.68,5.68,29.5452381,
36,Carter,Nick,The Weapon of Night,,,4.14,4.22,9.898888889,
36,Carter,Nick,The Inca Death Squad,,,4.99,5.39,50.32,
36,Carter,Nick,The Executioners,,,3.59,3.59,15.43344828,
36,Carter,Nick,Hood of Death,,,4.5,1,9.01,
36,Carter,Nick,Counterfeit Agent,,,1.5,1,22.572,
36,Carter,Nick,Hood of Death,,,4.5,1,9.01,
36,Carter,Nick,The 13th Spy,,,3.49,3.49,11.3984,
36,Carter,Nick,The Sea Trap,,,4.09,4.14,14.47714286,
36,Carter,Nick,Ice Trap Terror,,,1,5.66,20.094375,
36,Carter,Nick,The Black Death,,,1,1.36,5.671666667,
36,Carter,Nick,The Death Spartan,,,,,,No Result
36,Carter,Nick,Day of the Dingo,,,4.05,4.05,9.298,
36,Carter,Nick,The Filthy Five,,,3.98,8.88,9.54,
36,Carter,Nick,Ice Bomb Zero,,,4.47,3.48,13.97733333,
